"id","name","brand","address.addr1","address.city","address.region","address.country","lat","long","check_in_date","check_in","check_out_date","check_out","event","nights","sale_price","url","name-2","deleted_at"
"a1b2967e-53c3-42ab-8731-e0074da712a3","W Philadelphia","Marriott","1439 Chestnut St","Philadelphia","PA","US",39.951073,-75.165519,"2023-05-12","Fri, May 12","2023-05-14","Sun, May 14","Wharton Reunion Weekend",2,625,"https://www.gohoken.com/hotels/a1b2967e-53c3-42ab-8731-e0074da712a3/21e20ecc-3b4c-4ba3-92d0-f36b6bd1a2e2","Wharton Reunion Weekend",0
"57f23388-603d-4f8b-b5f7-baa0af8b0365","Hilton Meadowlands East Rutherford","Hilton","Two Meadowlands Plz","East Rutherford","NJ","US",40.8062,-74.07809,"2023-05-19","Fri, May 19","2023-05-20","Sat, May 20","Morgan Wallen One Night At A Time World Tour East Rutherford",1,258,"https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/aae8f0ca-4608-472e-9c00-dbb2e89756cd","Morgan Wallen One Night At A Time World Tour East Rutherford",0
"57f23388-603d-4f8b-b5f7-baa0af8b0365","Hilton Meadowlands East Rutherford","Hilton","Two Meadowlands Plz","East Rutherford","NJ","US",40.8062,-74.07809,"2023-05-20","Sat, May 20","2023-05-21","Sun, May 21","Morgan Wallen One Night At A Time World Tour East Rutherford",1,320,"https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/aae8f0ca-4608-472e-9c00-dbb2e89756cd","Morgan Wallen One Night At A Time World Tour East Rutherford",0
"f062df60-dcde-4de5-8a76-798be2893a79","Hilton Chicago","Hilton","720 S Michigan Ave","Chicago","IL","US",41.872265,-87.625266,"2023-05-20","Sat, May 20","2023-05-23","Tue, May 23","National Restaurant Association Show 2023",3,436,"https://www.gohoken.com/hotels/f062df60-dcde-4de5-8a76-798be2893a79/abe25f4d-01d0-4f66-a565-0ad0cb17f39b","National Restaurant Association Show 2023",0
"233f3ffd-f75d-4f42-ad30-09bcd15a5f43","Marriott Marquis Chicago","Marriott","2121 S Prairie Ave","Chicago","IL","US",41.85408,-87.62057,"2023-05-20","Sat, May 20","2023-05-23","Tue, May 23","National Restaurant Association Show 2023",3,575,"https://www.gohoken.com/hotels/233f3ffd-f75d-4f42-ad30-09bcd15a5f43/abe25f4d-01d0-4f66-a565-0ad0cb17f39b","National Restaurant Association Show 2023",0
"8f9bd7c0-cb30-431f-9ea8-001c5f0bd0d8","Courtyard by Marriott Phoenix West/Avondale","Marriott","1650 N 95th Ln","Phoenix","AZ","US",33.465975,-112.267095,"2023-05-23","Tue, May 23","2023-05-24","Wed, May 24","Dead And Co Summer 2023 Phoenix",1,199,"https://www.gohoken.com/hotels/8f9bd7c0-cb30-431f-9ea8-001c5f0bd0d8/d9dc976c-6387-4cbc-af83-9d6ebe2867e8","Dead And Co Summer 2023 Phoenix",0
"20a7736c-cb91-402f-ab3c-273a8859d7fc","Hampton Inn Carlstadt-At The Meadowlands","Hilton","304 Paterson Plank Rd","Carlstadt","NJ","US",40.82979,-74.08305,"2023-05-26","Fri, May 26","2023-05-27","Sat, May 27","The Eras Tour Taylor Swift East Rutherford",1,1211,"https://www.gohoken.com/hotels/20a7736c-cb91-402f-ab3c-273a8859d7fc/935a7e16-4ed7-4028-8cbd-1ffa4c529880","The Eras Tour Taylor Swift East Rutherford",0
"e8315c9d-1462-4bd9-8d54-f19bd8cf5a36","Courtyard by Marriott Columbus OSU","Marriott","780 Yard St","Columbus","OH","US",39.9748,-83.02519,"2023-05-26","Fri, May 26","2023-05-28","Sun, May 28","Kiss End Of The World World Tour Columbus",2,409,"https://www.gohoken.com/hotels/e8315c9d-1462-4bd9-8d54-f19bd8cf5a36/1eac84da-02d6-4194-a79e-791e944c93da","Kiss End Of The World World Tour Columbus",0
"145a0b10-a646-4c30-9442-26e0cfd53c01","Graduate Providence","Independent","11 Dorrance St","Providence","RI","US",41.824365,-71.413375,"2023-05-28","Sun, May 28","2023-05-29","Mon, May 29","Brown University Graduation",1,529,"https://www.gohoken.com/hotels/145a0b10-a646-4c30-9442-26e0cfd53c01/7b0dbf61-8990-4d79-b8a0-25e6cd3a94e2","Brown University Graduation",0
"c16da4c8-948c-4431-8904-23f218fd38ef","Courtyard By Marriott North Charleston Airport/Coliseum","Marriott","2415 Mall Dr","North Charleston","SC","US",32.8754,-80.011,"2023-06-03","Sat, Jun 3","2023-06-05","Mon, Jun 5","High Tide Music and Arts Festival",2,187,"https://www.gohoken.com/hotels/c16da4c8-948c-4431-8904-23f218fd38ef/04ce0674-6a3f-4386-b13a-fdb1f772d917","High Tide Music and Arts Festival",0
